Claim,Evidence,label
We should adopt libertarianism,Libertarians promote individual liberty and seek to minimize the role of the state.,0
We should end affirmative action,Affirmative action programs usually fall under the substantive category [REF].,0
We should introduce recall elections,"2011, a petition to recall Idaho Superintendent of Public Instruction Tom Luna failed to obtain the necessary signatures to force a recall election [REF].",0
We should adopt mobile payments,"To date, point-of-sales mobile payment solutions have not relied on SMS-based authentication as a payment mechanism, but remote payments such as bill payments,[REF] seat upgrades on flights,[REF] and membership or subscription renewals are commonplace.",0
We should fight for Palestinian independence,"Rice has supported Israel, defended Israel's right to protect itself, and promoted the ""road map for peace,"" which includes the establishment of a sovereign Palestinian state.",1
Sex education should be mandatory,"A recent American Psychological Association (APA) press release supported the inclusion of information about condoms in sex education, saying ""comprehensive sexuality education programs.. discuss the appropriate use of condoms"", and ""promote condom use for those who are sexually active.""",1
We should increase fuel tax,"Other elements of the McGuinty government's first budget were a four-year plan to tackle the deficit, funding for 1,000 new teachers, a transfer of two cents of the existing gas tax to municipalities to help fund transit, and a three per cent increase to those on social assistance, the first increase in ten years.",0
We should end athletic scholarships,"Needing opponents with a similar competitive level on a regular basis for each teams' three nonconference games, the league contacted two university presidents, the Reverend John E. Brooks, S.J. of Holy Cross and Peter Likins of Lehigh, about the formation of a new conference that also prohibited athletic scholarships [REF].",0
We should fight urbanization,"The agricultural and climatic problems of the 1770s and 1780s led to an important increase in poverty: in some cities in the north, historians have estimated the poor as reaching upwards of 20% of the urban population.",0
We should ban gambling,Some Islamic nations prohibit gambling; most other countries regulate it [REF].,0
We should introduce compulsory voting,Whereas smaller political parties such as the NCPP have more of an impact if the preferential voting is compulsory [REF] .,0
We should ban beauty contests,The paper ran a beauty competition from November 1932 to March 1933 for which readers could vote [REF].,0
We should disband NATO,The Conference of National Armaments Directors (CNAD) is the senior NATO committee which acts as the tasking authority for the theater missile defense program.,0
We should limit executive compensation,"1990-1992 Lineberger Cancer Center, SPA personnel compensation Committee .",0
Casinos should be banned,"A gaming control board (GCB), also called by various names including gambling control board, casino control board, gambling board, and gaming commission) is a government agency charged with regulating casino and other types of gaming in a defined geographical area, usually a state, and of enforcing gaming law in general.",0
